Subject Number,Gender,Nice_Mean,Test Date,Age,Age Category,Ethnicity,Usable_Final_Sally,Exclusion_Criteria_Sally,Where will Sally look?,Where does Sally think her ball is?,Should Anne and Sally be friends?,Is Anne a nice girl or not a nice girl,Is Sally a nice girl or not a nice girl?,Order of think and look asked,1: look asked first; 2: think asked first 
1158,M,Nice,8/14/13,3.718510405,three,Wh,1,,Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1159,F,Nice,8/14/13,2.520985401,younger,Wh,0,was too young,Closet,?,Yes,Nice,Nice,Look 1st asked,1
1160,M,Mean,8/14/13,4.008762322,four,Wh,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1161,F,Mean,8/14/13,3.921139102,three,Wh,1,,Basket,Closet,Yes,Mean,Nice,Look 1st asked,1
1162,M,Mean,8/14/13,3.088295688,three,Wh,1,,Basket,Basket,Yes,Nice,Mean,Look 1st asked,1
1163,F,Nice,8/14/13,3.964950712,three,As,1,,Basket,Basket,Yes,Nice,Mean,Look 1st asked,1
1164,F,Nice,8/15/13,3.767798467,three,As,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1165,F,Nice,8/15/13,3.028062971,three,Ind,0,99,Closet,Closet,Yes,Mean,Mean,Look 1st asked,1
1166,F,Nice,8/15/13,4.724452555,four,Wh,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1167,F,Nice,8/15/13,3.370294319,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1168,M,Mean,8/15/13,3.112936345,three,Wh,1,,Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1169,F,Mean,8/15/13,3.041752225,three,Wh,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1170,M,Nice,8/15/13,2.839151266,younger,Wh,0,was too young,Closet,Closet,,,,Look 1st asked,1
1171,M,Mean,8/15/13,0.230136986,younger,Wh,0,experimenter error (age recorded incorrectly),Closet,Closet,Yes,Mean,Mean,Look 1st asked,1
